Date,Day,1A,1B,1C,2A,2B,2C,3A,3B,3C,4A,4B,4C,5A,5B,5C,6A,6B,6C,7A,7B,7C,8A,8B,8C,9A,9B,9C,10A,10B,10C,11A,11B,11C,12A,12B,12C,13A,13B,13C,14A,14B,14C,15A,15B,15C,16A,16B,16C,17A,17B,17C,18A,18B,18C,19A,19B,19C,20A,20B,20C,21A,21B,21C,22A,22B,22C,23A,23B,23C,24A,24B,24C,25A,25B,25C,26A,26B,26C,27A,27B,27C,28A,28B,28C,29A,29B,29C,30A,30B,30C,31A,31B,31C,32A,32B,32C,33A,33B,33C,34A,34B,34C,35A,35B,35C,36A,36B,36C,37A,37B,37C,38A,38B,38C,39A,39B,39C,40A,40B,40C,41A,41B,41C,42A,42B,42C,43A,43B,43C,44A,44B,44C,45A,45B,45C,46A,46B,46C,47A,47B,47C,48A,48B,48C,49A,49B,49C,50A,50B,50C,51A,51B,51C,52A,52B,52C,53A,53B,53C,54A,54B,54C,55A,55B,55C,56A,56B,56C,57A,57B,57C,58A,58B,58C,59A,59B,59C,60A,60B,60C,61A,61B,61C,62A,62B,62C,63A,63B,63C
7/29/2019 14:54,0,0.009,0.024,0.014,-0.019,-0.014,0.019,0.033,0.019,0.024,0,0.009,0.024,0.019,0.014,-0.005,-0.009,0.009,0.023,0.014,0.029,-0.009,0.024,0.019,-0.005,0.038,0.029,0.019,0.024,0.038,0.038,0.014,0.009,0.009,-0.014,0.033,0.038,0.038,-0.009,0.019,-0.005,0.033,-0.009,-0.005,0.043,0.014,-0.014,0.005,0.028,0.047,0.014,-0.024,0.033,0.019,0.034,0.009,0.024,0,-0.009,0.019,0,0.024,-0.009,0.024,0,-0.024,0.005,0.005,0.024,0.01,0,0.019,0.014,0,0.034,-0.005,0,0.014,0.033,0,0.058,-0.005,0.01,-0.019,0.029,0.005,0.024,0.014,0.042,0.019,0.014,0.028,0.033,0.01,0.044,-0.019,-0.005,0.014,0.019,0.019,0.014,0.009,0.024,-0.019,0.01,0.014,0.028,0.014,-0.019,0.019,0.033,0.014,0.019,0.047,0.024,0.005,0.042,0.019,0.009,0.014,0,0.019,-0.028,-0.005,0.005,0.019,-0.005,-0.009,-0.029,0.019,0.005,0.024,0.019,0.034,-0.01,-0.014,0.034,0.014,0.005,0.033,-0.019,0.038,0.052,0.005,0.029,0.047,0.061,0.024,0.005,0.005,0.01,-0.02,0.01,-0.019,-0.005,0.014,0.038,0.019,0.024,0.024,0.024,0.028,0.024,0.005,-0.009,0.014,0.019,-0.005,0.014,0.024,-0.005,0.024,0.024,-0.014,0.014,0.005,0.048,0.052,0.024,0.014,0.043,0.028,0.057,0.028,0.043,0,0.014,0.047,0.014,-0.005
7/31/2019 14:54,2,0.019,0.014,0.005,0.024,0.005,-0.038,0.028,0.043,0.019,0,0.01,0.028,0.005,-0.014,0,0.014,0.019,0,0.005,0.009,0.005,0.039,0.009,0.028,0,0.029,0.024,0.028,0,-0.029,0.005,0.01,0.014,-0.014,0.01,0.033,0.034,-0.024,0.014,-0.024,0.029,0.014,0.009,0,-0.033,0.005,0.009,0.01,0,0,0.005,0.038,0.01,0,0.01,0.01,0.024,0.005,0.005,0.038,-0.038,0.019,0,-0.005,0.034,0.005,0.01,0.024,0.019,0.01,0.009,0.029,0.019,0.029,-0.01,0.033,0.005,-0.014,0.019,0.019,0.029,0.01,0.014,0.01,0.024,0.038,0.043,0,0.014,0.033,0.01,0.038,0.014,0,0,0.043,0.043,0.033,0,0,-0.014,0.009,0.052,0.033,0.033,0.033,0.005,0.014,0.014,-0.005,0.019,0.01,0.005,-0.014,-0.014,0.024,0.009,0,0.014,0.014,0.005,-0.029,0.047,0.034,0.029,0.014,-0.009,0.01,0.014,0,0.029,-0.005,0.019,0.019,0.014,0.024,0.005,0.005,0.033,0.019,0.034,0,0.029,0,0.024,-0.01,-0.024,0.005,0.014,0.005,0.009,-0.01,-0.009,0,0.043,0.014,-0.014,-0.024,0.019,0.02,-0.01,0.019,-0.005,0.058,0.01,0.024,0.009,0.029,0.019,0.043,-0.005,-0.005,0.024,0.048,-0.005,-0.005,-0.01,0.014,0,0.034,0.068,0.058,0.005,0.029,0.005,0.014,0.052,0.024,0.028
8/1/2019 12:28,2.898611111,-0.019,0,-0.01,0.028,0.038,0.014,0.033,-0.005,0.005,0.028,-0.005,-0.033,-0.019,0.014,0.043,0.024,-0.005,0.019,0.033,-0.005,0.023,0.028,0.019,0.014,0.014,0.009,0.009,0.014,0.005,0.024,0.005,0.009,0.029,0.005,0.005,0.014,0,0.028,-0.019,0.038,-0.023,0,-0.009,0.023,0.024,0,0.019,0.005,0.009,0.014,0.019,0.028,0.019,0,0.014,0.028,0.019,0.038,0.033,-0.005,-0.009,0.014,0,0.005,-0.014,0.071,-0.015,0.029,0.052,0.06,0.052,-0.009,0.009,0.009,0.029,-0.005,0.024,0.042,0.009,0.033,0.019,-0.005,0,-0.005,0.033,0.028,0.005,0.024,-0.028,0.057,0.024,0.028,-0.005,0.019,0.014,0.01,0.028,0.024,0.005,0.009,0.038,0.024,0.014,0.005,0.023,-0.01,0.028,0.014,0.014,0.009,0.038,0.028,0.028,0,0.014,0.009,0.034,0.014,0.024,0.005,0.005,-0.009,0.024,0.033,0.052,0.024,0.043,-0.014,0.024,0.019,0.005,0.01,0.033,0.043,0.043,0.005,0.047,0.014,0,0.047,0.039,0.033,0.033,0.028,0.029,0.01,0.009,0.057,0.024,0.014,0.019,0,0.014,0.019,0.019,0.01,0.014,-0.014,0.043,0.01,0.014,0.014,0.019,-0.029,0.005,0.005,0.019,0.028,0.028,0.005,0.028,0.033,0.01,0,0.034,0.014,0.048,0.034,0.038,0.033,0.019,0.01,0.028,0.005,0.039,0.038,0.048,0.024,0.038
8/4/2019 16:32,6.068055556,0.028,-0.009,0.058,0,0.014,0.028,0.042,-0.005,0.024,0.024,0.023,0,0.009,0.038,-0.009,0.019,0.005,0.033,0.028,0,0.019,0.009,-0.014,-0.009,0.024,0.033,0.028,0.014,-0.005,0,0.009,-0.019,-0.009,0,0,0.047,0.047,0.024,-0.009,0.056,0.047,-0.005,0.014,0.014,0.019,0.043,-0.005,-0.025,0.042,-0.005,-0.009,0,0.042,-0.019,0.009,0.057,0.014,0.019,0.028,0.009,0.024,-0.009,0.019,0.005,0.005,0.047,0.043,0.014,0,-0.009,-0.014,0,0.014,0.009,-0.057,0.057,0.047,0.052,0.019,0.009,0.005,0.014,0.037,0,0.019,0.01,-0.009,0.014,0.019,-0.024,0.014,0.028,-0.005,0.009,0.005,0.009,-0.033,0.043,0.01,-0.009,-0.01,0.014,0.042,0.028,0.019,0.019,-0.005,0.014,0.033,0.104,0.058,0.014,0.014,0.047,0.038,0.024,0.047,0.005,0.024,-0.005,0,0.033,0.039,0.047,0.005,0.005,0.029,0.033,0.014,0.005,0.009,0.051,0,0.033,0.033,0.009,0.019,0.024,0.028,-0.014,0.01,-0.019,0.005,0.028,0.009,0,0.034,0.028,0.028,0.047,-0.005,0.028,0.047,0.028,0,0.014,-0.005,0.043,0.028,0.048,0.014,0.024,0.019,0.047,-0.005,0.029,0.014,-0.005,0.091,0.033,0.014,0.047,0.038,0.056,0,-0.01,-0.028,0.009,0.01,0.009,0.038,0.005,0.01,-0.014,0.024,0.038,0.038,0.057,0.028
8/6/2019 13:10,7.927777778,0.009,0.023,0.009,0.023,0.005,0.024,0.052,-0.023,0.019,0,0.005,0.019,0.033,0.028,0.066,0,0.042,0.009,0.009,0.014,0.019,0.037,0.042,0.023,-0.009,0.014,0.01,0.052,-0.005,0.029,0.052,0.014,-0.019,0,-0.005,0,0.038,0.028,0.028,0.005,0.005,0.033,-0.005,0.047,-0.005,0.005,0.023,0.028,0.023,0.033,0.038,-0.028,-0.014,0.042,0.061,0.014,0.019,0.019,0.023,0.009,-0.009,0.047,0.033,0.005,0.019,0.023,0.019,0.009,0.019,0.019,0.033,0.014,0.024,0.042,-0.009,0.023,0.028,0.033,0.019,0,0.042,0.037,0.014,0.023,0.009,0,0.014,0.023,-0.014,0.043,0.019,0.029,-0.023,0.028,0.047,0.009,0.051,0.023,0.029,-0.009,0.019,0.024,0.019,0.037,0.037,0.014,0.042,0.051,0.08,0.094,0.08,0.019,0.023,0.014,0.07,0.066,0.033,0.005,-0.005,0.005,0.028,0.014,0.056,0.019,0.009,0.043,0,0.005,0.019,0.043,0.014,0.042,0.014,0.028,0.047,0.019,0.08,0.033,0.023,0.014,-0.033,0.019,-0.014,0.052,-0.019,0.014,0.066,0.023,0.033,0,0.024,0.009,0.023,0.052,0.019,0.019,0.005,0.043,0.019,0.043,0.033,0.024,0.028,0.047,0.052,0,0,0.009,0.042,-0.005,-0.009,0.023,0.038,0.019,0.014,0.056,0.052,0.019,0.042,0.066,0.005,0.009,0.005,0.005,0.038,0.024,0.028,0.024,0.066
8/8/2019 9:10,9.761111111,0.033,0.005,-0.014,0.024,0.037,0.005,0.005,0.042,0,-0.009,0.005,0,0,0.047,0.014,0.01,0.019,0,-0.005,-0.005,0.014,0.047,0.014,-0.014,0.023,0.005,0.014,0.047,0.047,0.028,0,0.014,0.014,0.005,-0.005,-0.019,0.009,0.014,-0.009,0.052,0.023,0.019,0.005,0.014,-0.005,0.028,0.019,0.029,0.019,0.019,0.028,0.009,0.019,0.009,0.024,0.009,0.028,0.023,0.047,0.009,0.033,0.033,0.056,0.028,0.032,0,-0.009,0.023,0.009,0.019,-0.023,0.028,0.009,0.037,0.042,0.014,0.014,0.014,0,0,0.033,0.005,0.019,0.033,0.014,0.034,0.062,0.005,0.014,0.028,0.033,0.019,0.028,-0.005,-0.009,0.037,0.014,0.014,0.005,-0.023,0.009,0.014,0.056,0.019,0.028,0.085,0.023,0.037,0.14,0.136,0.168,0.009,0.014,-0.009,0.042,0.08,0.075,0.014,-0.005,0.028,0.019,0.061,0.051,0.062,0.028,0.005,0.042,0.048,0.028,0.042,0.009,0.023,0.024,0,0.047,0.075,0.085,0.033,0.038,0.066,0.037,0.014,0.038,0.023,0.038,0.033,0.005,0.042,0.032,0.028,0.028,0.033,0.033,0.047,-0.023,0.023,0.028,0.042,0.037,0.024,0.043,0.08,0.038,0.061,0.062,0.024,0,0.009,0.019,0.051,0.009,0.038,0.024,0.061,0.047,0.052,0.047,0.066,0.062,0.047,-0.005,-0.019,0.014,0.005,0.038,0.034,0.066,0.019,0.038
8/11/2019 10:30,12.81666667,0.028,0,0.047,0.014,0.009,0.01,0.033,0.014,0.028,-0.005,0.028,0.019,0.033,0.043,0.047,-0.014,0.033,0.019,-0.014,0,0.047,-0.005,0.005,0,0.014,0.037,0.005,0.047,0.042,0.009,0.009,0,0.028,0.01,0.023,0.028,0.024,0.005,-0.005,0.094,0.051,0.061,0.005,0.052,-0.024,0.047,0.037,0.023,-0.005,-0.014,0.028,0.042,0.048,0.005,0.076,0.074,-0.033,0.043,-0.005,0.019,0.098,0.178,0.146,0.023,0.019,0.014,0.009,0.005,0.019,0.075,0.019,0.014,0.033,-0.019,0.028,0.028,0.019,0,0.056,0.028,0.056,-0.019,0,0.062,0.066,0.075,0.033,0.056,0.056,0.061,0.075,0.08,0.117,0.014,0.028,0.009,0.038,-0.005,0.014,0.005,-0.005,0.023,0.075,0.066,0.056,0.137,0.117,0.12,0.44,0.546,0.701,-0.009,0.024,0.057,0.213,0.233,0.156,0.038,0.005,0.033,0.029,0.033,0.019,0.014,0.024,0,0.057,0.005,0.042,-0.009,0.033,0.033,0.096,0.052,0.102,0.094,0.17,0.239,0.197,0.08,0.047,0.099,0.024,0.075,0.019,0.056,0.061,0.052,0.028,0.019,0,0.038,0.019,0.085,0.062,0.066,0.019,0.042,0.024,0.054,0.127,0.118,0.042,0.151,0.133,0.067,0.081,0.066,0.08,0.057,0.052,0.103,0.071,0.052,0.052,0.071,0.042,0.047,0.094,0.142,0.019,-0.009,0.038,0.033,0.1,0.071,0.099,0.052,0.057
8/13/2019 11:10,14.84444444,0.047,0.014,0.032,-0.014,0.033,0.019,-0.024,0.029,-0.005,0.023,-0.005,0,0.065,0.033,0.047,0.056,0.028,0.047,0.029,0,0.023,-0.014,0.019,0.014,0.024,0.024,0.037,0.202,0.131,0.057,0.028,0.009,0.014,0.005,0.028,0,0.014,0.042,0.033,0.132,0.052,0.061,0.009,0.014,0.019,-0.005,0.024,0.009,0.019,0.037,0.028,0.033,0.038,0.057,0.076,0.07,0.037,0.005,0.033,0.037,0.298,0.316,0.379,0.009,0.009,0.047,0.019,0.009,0.019,0.119,0.102,0.056,0.009,0.014,-0.038,-0.009,0.014,-0.028,0.028,0.005,0.056,0.005,0.019,0.071,0.154,0.159,0.085,0.146,0.047,0.187,0.088,0.197,0.327,0.014,-0.009,0,0.037,0.085,0.088,-0.005,0.005,0.032,0.22,0.179,0.104,0.293,0.285,0.3,1.29,1.453,1.711,0.061,0.075,0.028,0.437,0.382,0.244,0.061,0.084,0.08,0.084,0.099,0.084,0,0.009,0.023,0.065,0.112,0.066,-0.005,0.009,0.042,0.179,0.137,0.094,0.177,0.372,0.411,0.354,0.224,0.155,0.171,0.075,0.122,0.051,0.089,0.123,0.076,0.066,0.038,0.047,0.076,0.084,0.084,0.136,0.122,0.042,0.109,0.038,0.09,0.313,0.296,0.01,0.337,0.327,0.155,0.107,0.089,0.136,0.142,0.061,0.191,0.151,0.169,0.164,0.136,0.173,0.169,0.131,0.23,0,0.033,0.024,0.103,0.146,0.173,0.267,0.112,0.095
8/15/2019 14:13,16.97152778,0.033,0.019,0.052,0.048,-0.005,-0.014,0.014,0,-0.014,0,0.019,0.024,0.18,0.098,0.156,0.009,0.024,0,0.014,0,0.019,-0.009,0.019,-0.019,0.009,0.019,-0.019,0.318,0.292,0.132,0.042,-0.005,0.005,0.057,0.038,0.019,-0.033,0.024,0.024,0.268,0.197,0.172,-0.014,0.033,0.01,0.028,0.038,-0.005,0.085,0.028,0.066,-0.014,0.043,0.113,0.219,0.304,0.019,0.029,0.005,0.024,0.994,1.072,0.98,-0.014,0,0.014,0.01,0.029,0.005,0.296,0.16,0.129,0.052,0.024,0.028,0.005,0.019,-0.005,0.024,0.071,0.067,0.033,0.014,0.108,0.339,0.392,0.226,0.35,0.08,0.409,0.288,0.61,0.801,0.028,0,0.014,0.119,0.114,0.138,-0.014,0.019,0.052,0.656,0.399,0.333,0.751,0.572,0.716,3.233,3.549,3.79,0.115,0.052,0.119,0.95,0.962,0.559,0.156,0.165,0.132,0.1,0.166,0.104,0.033,0.019,0,0.133,0.166,0.141,0.028,-0.009,0.029,0.346,0.255,0.322,0.299,0.796,0.967,0.753,0.307,0.311,0.312,0.103,0.291,0.133,0.227,0.291,0.153,0.156,0.101,0.087,0.135,0.126,0.229,0.268,0.245,0.047,0.085,0.067,0.219,0.745,0.732,0.014,0.722,0.738,0.318,0.257,0.253,0.252,0.28,0.238,0.529,0.325,0.356,0.394,0.319,0.364,0.351,0.395,0.496,0.033,0.019,0.014,0.214,0.489,0.504,0.553,0.272,0.174
8/18/2019 12:04,19.88194444,0.023,0.014,0.034,-0.005,0.014,-0.005,0.019,0.019,-0.014,-0.009,0.009,0.024,0.713,0.295,0.473,0.005,0.014,0.047,-0.005,0.014,-0.005,0.033,0.024,-0.009,0.014,0.009,-0.014,1.266,0.988,0.468,0.033,0,0.019,0.028,0.029,0.038,0.029,0.005,0.048,1.329,0.438,0.343,-0.023,-0.014,0.048,-0.033,0.066,-0.014,0.284,0.156,0.296,0.089,0.122,0.19,0.761,0.888,0.034,0.071,0.062,0.109,2.867,3.257,3.003,0,0.024,-0.009,0.005,0.005,-0.01,1.138,0.696,0.453,-0.009,-0.005,0.033,-0.014,0.014,-0.014,0.163,0.029,0.312,0.033,0.038,0.344,0.973,1.279,0.772,1.09,0.302,1.055,0.817,1.561,2.281,-0.005,0,0.005,0.31,0.416,0.353,0.024,0.01,0.029,2.056,1.221,1.027,1.811,1.559,1.846,4.364,4.071,3.551,0.409,0.217,0.322,2.406,2.27,1.393,0.265,0.373,0.429,0.396,0.553,0.354,0.01,-0.005,0.014,0.654,0.578,0.452,0.019,0.033,-0.019,1.242,1.093,1.15,1.056,2.086,2.535,2.497,1.114,1.013,1.26,0.317,1.166,0.356,0.617,0.834,0.473,0.498,0.273,0.308,0.519,0.316,0.925,1.18,0.985,0.067,0.312,0.283,0.724,2.359,2.168,0.038,2.319,2.336,1.089,1.135,0.884,0.773,0.995,0.882,1.685,0.967,1.206,1.188,0.913,0.966,1.001,0.992,1.358,0.047,0.005,0.033,0.809,1.435,1.424,1.679,0.838,0.511
