name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Prochlorococcus	1218	G	1433	4	1437	0.74926
Bacillus	1386	G	6	2	8	0.00431
Geobacillus	129337	G	1	2	3	0.00167
Paenibacillus	44249	G	1	0	1	0.00052
Streptococcus	1301	G	2	0	2	0.00104
Lactococcus	1357	G	2	0	2	0.00108
Lactobacillus	1578	G	1	0	1	0.00055
Cutibacterium	1912216	G	6	0	6	0.00318
Rothia	32207	G	2	0	2	0.00107
Microbacterium	33882	G	1	0	1	0.00052
Mycobacterium	1763	G	1	1	2	0.00104
Corynebacterium	1716	G	1	0	1	0.00052
Plantactinospora	673534	G	1	0	1	0.00052
Streptomyces	1883	G	1	0	1	0.00053
Deinococcus	1298	G	2	0	2	0.00105
Alteromonas	226	G	122	25	147	0.07671
Marinobacter	2742	G	9	0	9	0.00498
Idiomarina	135575	G	4	0	4	0.00210
Acinetobacter	469	G	28	2	30	0.01595
Psychrobacter	497	G	3	0	3	0.00158
Moraxella	475	G	1	0	1	0.00056
Pseudomonas	286	G	20	2	22	0.01183
Methylophaga	40222	G	7	1	8	0.00458
Thiomicrorhabdus	2039723	G	1	0	1	0.00053
Francisella	262	G	1	0	1	0.00053
Beggiatoa	1021	G	1	0	1	0.00052
Halomonas	2745	G	6	0	6	0.00349
Marinobacterium	48075	G	1	0	1	0.00053
Alcanivorax	59753	G	1	0	1	0.00068
Atlantibacter	1903434	G	1	4	5	0.00264
Sodalis	84565	G	1	0	1	0.00052
Stenotrophomonas	40323	G	2	0	2	0.00114
Xanthomonas	338	G	1	0	1	0.00052
Nitrosococcus	1227	G	1	0	1	0.00053
Vibrio	662	G	1	0	1	0.00052
Sphingobium	165695	G	37	14	51	0.02704
Sphingomonas	13687	G	28	3	31	0.01641
Citromicrobium	72173	G	6	0	6	0.00323
Sphingopyxis	165697	G	5	0	5	0.00282
Blastomonas	150203	G	1	0	1	0.00052
Erythrobacter	1041	G	31	2	33	0.01728
Croceicoccus	1295327	G	1	0	1	0.00057
Brevundimonas	41275	G	24	2	26	0.01374
Asticcacaulis	76890	G	1	0	1	0.00053
Bradyrhizobium	374	G	3	0	3	0.00175
Devosia	46913	G	3	0	3	0.00172
Mesorhizobium	68287	G	1	0	1	0.00077
Rhizobium	379	G	1	0	1	0.00052
Paracoccus	265	G	1	0	1	0.00055
Paraoceanicella	2683599	G	1	0	1	0.00053
Candidatus Pelagibacter	198251	G	1	0	1	0.00052
Thalassospira	168934	G	1	0	1	0.00060
Parvularcula	208215	G	1	0	1	0.00053
Ralstonia	48736	G	2	2	4	0.00256
Pandoraea	93217	G	1	0	1	0.00086
Collimonas	202907	G	1	0	1	0.00064
Undibacterium	401469	G	1	0	1	0.00052
Pusillimonas	305976	G	1	0	1	0.00067
Gramella	292691	G	1	0	1	0.00052
Prevotella	838	G	1	0	1	0.00052
Gemmata	113	G	1	0	1	0.00052
Fusobacterium	848	G	1	0	1	0.00052
Homo	9605	G	10	1	11	0.00573
