name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Alteromonas	226	G	59718	2807	62525	0.93726
Marinobacter	2742	G	217	22	239	0.00358
Salinimonas	288793	G	5	0	5	0.00008
Glaciecola	89404	G	3	0	3	0.00005
Catenovulum	1172191	G	3	0	3	0.00005
Hydrocarboniclastica	2650549	G	2	0	2	0.00003
Paraglaciecola	1621534	G	1	0	1	0.00002
Lacimicrobium	1751872	G	1	0	1	0.00002
Saliniradius	2661818	G	1	0	1	0.00002
Shewanella	22	G	28	1	29	0.00045
Parashewanella	2547964	G	1	0	1	0.00002
Pseudoalteromonas	53246	G	9	0	9	0.00014
Idiomarina	135575	G	8	0	8	0.00012
Colwellia	28228	G	3	1	4	0.00007
Thalassotalea	1518149	G	1	0	1	0.00002
Moritella	58050	G	1	0	1	0.00002
Ferrimonas	44011	G	1	0	1	0.00002
Pseudomonas	286	G	276	39	315	0.00472
Permianibacter	1649479	G	5	0	5	0.00008
Azotobacter	352	G	1	0	1	0.00002
Oblitimonas	1849530	G	1	0	1	0.00002
Acinetobacter	469	G	28	3	31	0.00047
Psychrobacter	497	G	3	0	3	0.00005
Moraxella	475	G	1	0	1	0.00002
Methylophaga	40222	G	269	52	321	0.00482
Thiomicrorhabdus	2039723	G	11	0	11	0.00017
Thiomicrospira	933	G	2	4	6	0.00010
Hydrogenovibrio	28884	G	1	0	1	0.00002
Thioploca	40751	G	2	0	2	0.00003
Enterobacter	547	G	14	16	30	0.00045
Citrobacter	544	G	6	11	17	0.00027
Escherichia	561	G	4	44	48	0.00073
Salmonella	590	G	4	10	14	0.00022
Klebsiella	570	G	2	13	15	0.00023
Kosakonia	1330547	G	2	0	2	0.00004
Leclercia	83654	G	2	0	2	0.00003
Candidatus Moranella	1048757	G	2	0	2	0.00003
Cronobacter	413496	G	2	4	6	0.00009
Scandinavium	2726810	G	1	0	1	0.00002
Pseudescherichia	2055880	G	1	0	1	0.00002
Lelliottia	1330545	G	1	0	1	0.00003
Gibbsiella	929812	G	1	0	1	0.00003
Raoultella	160674	G	1	8	9	0.00014
Cedecea	158483	G	1	0	1	0.00002
Buttiauxella	82976	G	1	0	1	0.00002
Pantoea	53335	G	9	4	13	0.00020
Erwinia	551	G	5	4	9	0.00014
Tatumella	82986	G	5	2	7	0.00011
Mixta	2100764	G	1	1	2	0.00004
Serratia	613	G	8	11	19	0.00028
Yersinia	629	G	6	2	8	0.00013
Chania	1745211	G	2	1	3	0.00005
Dickeya	204037	G	6	3	9	0.00013
Sodalis	84565	G	5	0	5	0.00008
Pectobacterium	122277	G	5	1	6	0.00009
Brenneria	71655	G	2	0	2	0.00004
Providencia	586	G	4	2	6	0.00010
Morganella	581	G	2	2	4	0.00006
Photorhabdus	29487	G	1	0	1	0.00002
Leminorella	82980	G	2	0	2	0.00004
Hafnia	568	G	1	0	1	0.00001
Halomonas	2745	G	43	5	48	0.00073
Kushneria	504090	G	7	0	7	0.00011
Chromohalobacter	42054	G	1	0	1	0.00002
Cobetia	204286	G	1	0	1	0.00002
Salinicola	404432	G	1	0	1	0.00002
Pistricoccus	1897649	G	1	0	1	0.00002
Marinobacterium	48075	G	4	0	4	0.00007
Oleispira	188907	G	3	0	3	0.00005
Nitrincola	267849	G	3	0	3	0.00005
Marinomonas	28253	G	2	0	2	0.00003
Bacterioplanes	1537406	G	2	0	2	0.00004
Alcanivorax	59753	G	4	2	6	0.00010
Ketobacter	2025617	G	3	2	5	0.00008
Kangiella	261963	G	6	0	6	0.00009
Hahella	158481	G	4	0	4	0.00006
Gynuella	1445504	G	3	0	3	0.00005
Saccharospirillum	231683	G	1	0	1	0.00002
Endozoicomonas	305899	G	4	0	4	0.00007
Oleiphilus	141450	G	2	1	3	0.00005
Thioalkalivibrio	106633	G	5	4	9	0.00014
Ectothiorhodospira	1051	G	4	2	6	0.00010
Spiribacter	1335745	G	2	0	2	0.00003
Halorhodospira	85108	G	1	0	1	0.00002
Alkalilimnicola	133193	G	1	0	1	0.00002
Acidihalobacter	1765964	G	1	0	1	0.00001
Thiocystis	13724	G	2	0	2	0.00004
Rheinheimera	67575	G	2	3	5	0.00008
Nitrosococcus	1227	G	1	0	1	0.00002
Sulfuriflexus	1860077	G	5	0	5	0.00008
Granulosicoccus	437504	G	3	0	3	0.00005
Thiohalobacter	1273155	G	4	2	6	0.00009
Halothiobacillus	109262	G	2	0	2	0.00004
Sulfurivermis	2034504	G	2	3	5	0.00008
Woeseia	1738655	G	2	0	2	0.00003
Guyparkeria	2035712	G	1	0	1	0.00002
Microbulbifer	48073	G	17	1	18	0.00028
Cellvibrio	10	G	10	0	10	0.00015
Teredinibacter	2425	G	2	0	2	0.00003
Oceanicoccus	1084558	G	5	0	5	0.00008
Zhongshania	1434050	G	4	0	4	0.00006
Spongiibacter	630749	G	1	0	1	0.00002
Halioglobus	1217416	G	2	2	4	0.00006
Congregibacter	393661	G	1	0	1	0.00003
Vibrio	662	G	38	3	41	0.00062
Salinivibrio	51366	G	2	0	2	0.00004
Grimontia	246861	G	2	0	2	0.00004
Stenotrophomonas	40323	G	9	1	10	0.00016
Xanthomonas	338	G	5	0	5	0.00009
Lysobacter	68	G	4	1	5	0.00008
Xylella	2370	G	2	0	2	0.00004
Luteimonas	83614	G	1	0	1	0.00002
Pseudoxanthomonas	83618	G	1	0	1	0.00002
Frateuria	70411	G	2	0	2	0.00004
Rhodanobacter	75309	G	2	1	3	0.00005
Luteibacter	242605	G	2	0	2	0.00004
Ahniella	2233801	G	1	0	1	0.00002
Methylomicrobium	39773	G	12	1	13	0.00020
Methylomonas	416	G	10	0	10	0.00016
Candidatus Methylospira	1808977	G	4	0	4	0.00006
Methylovulum	762296	G	2	7	9	0.00015
Aeromonas	642	G	12	1	13	0.00020
Tolumonas	43947	G	2	0	2	0.00004
Zobellella	347533	G	1	1	2	0.00003
Candidatus Vesicomyosocius	2732587	G	1	0	1	0.00002
Sedimenticola	349742	G	2	0	2	0.00003
Candidatus Thioglobus	655184	G	2	0	2	0.00003
Thiolapillus	1608298	G	2	0	2	0.00003
Pseudohongiella	1524249	G	1	0	1	0.00002
Actinobacillus	713	G	2	1	3	0.00005
Basfia	697331	G	2	0	2	0.00003
Haemophilus	724	G	1	1	2	0.00004
Coxiella	776	G	4	0	4	0.00006
Aquicella	254245	G	1	0	1	0.00002
Legionella	445	G	1	0	1	0.00002
Fluoribacter	461	G	1	7	8	0.00013
Sulfurifustis	1692042	G	2	0	2	0.00003
Sulfuricaulis	1744881	G	1	0	1	0.00002
Sinimarinibacterium	1861863	G	1	0	1	0.00002
Steroidobacter	469322	G	1	0	1	0.00002
Cardiobacterium	2717	G	1	0	1	0.00002
Maricaulis	74317	G	271	247	518	0.00777
Glycocaulis	1433402	G	33	22	55	0.00083
Hyphomonas	85	G	13	5	18	0.00027
Hirschia	2723	G	1	0	1	0.00002
Labrenzia	478070	G	15	10	25	0.00039
Sulfitobacter	60136	G	8	6	14	0.00021
Leisingera	191028	G	7	8	15	0.00024
Phaeobacter	302485	G	6	6	12	0.00019
Rhodobacter	1060	G	5	31	36	0.00055
Paracoccus	265	G	5	12	17	0.00026
Jannaschia	188905	G	4	0	4	0.00007
Pannonibacter	227873	G	3	91	94	0.00142
Octadecabacter	53945	G	3	2	5	0.00008
Pseudohalocynthiibacter	1759417	G	3	4	7	0.00010
Mameliella	1434019	G	2	3	5	0.00008
Celeribacter	875170	G	2	3	5	0.00009
Tabrizicola	1443919	G	2	1	3	0.00005
Pelagibaca	360528	G	2	9	11	0.00017
Boseongicola	1648497	G	2	0	2	0.00003
Tateyamaria	299261	G	2	0	2	0.00004
Halovulum	1844498	G	2	1	3	0.00005
Dinoroseobacter	309512	G	2	6	8	0.00012
Roseovarius	74030	G	2	4	6	0.00010
Stappia	152161	G	2	5	7	0.00011
Parasedimentitalea	2738399	G	1	0	1	0.00002
Planktomarina	1284657	G	1	0	1	0.00002
Defluviimonas	1097466	G	1	5	6	0.00010
Gemmobacter	204456	G	1	0	1	0.00003
Ketogulonicigenium	92944	G	1	1	2	0.00004
Marivivens	1759396	G	1	2	3	0.00005
Marinovum	367771	G	1	2	3	0.00005
Rhodovulum	34008	G	1	0	1	0.00001
Brevirhabdus	1855413	G	1	3	4	0.00006
Thalassobius	335927	G	1	0	1	0.00002
Monaibacterium	2029873	G	1	1	2	0.00004
Thioclava	285107	G	1	1	2	0.00004
Pseudovibrio	258255	G	1	0	1	0.00003
Paraoceanicella	2683599	G	1	2	3	0.00005
Rhizobium	379	G	17	52	69	0.00105
Agrobacterium	357	G	11	15	26	0.00040
Neorhizobium	1525371	G	3	3	6	0.00010
Sinorhizobium	28105	G	4	9	13	0.00020
Ensifer	106591	G	4	11	15	0.00023
Georhizobium	2661800	G	4	14	18	0.00027
Shinella	323620	G	2	21	23	0.00036
Bradyrhizobium	374	G	32	35	67	0.00101
Rhodopseudomonas	1073	G	3	5	8	0.00012
Bosea	85413	G	3	1	4	0.00007
Nitrobacter	911	G	2	1	3	0.00005
Mesorhizobium	68287	G	19	33	52	0.00079
Phyllobacterium	28100	G	2	2	4	0.00006
Roseitalea	1915401	G	2	3	5	0.00008
Salaquimonas	2712688	G	1	0	1	0.00002
Methylobacterium	407	G	7	7	14	0.00022
Methylorubrum	2282523	G	6	14	20	0.00030
Microvirga	186650	G	4	4	8	0.00012
Hyphomicrobium	81	G	7	1	8	0.00013
Pelagibacterium	1082930	G	3	5	8	0.00013
Blastochloris	59282	G	2	4	6	0.00009
Maritalea	623276	G	2	0	2	0.00004
Rhodoplanes	29407	G	1	0	1	0.00003
Devosia	46913	G	1	0	1	0.00002
Pyruvatibacter	1742974	G	9	6	15	0.00023
Candidatus Phaeomarinobacter	1541445	G	3	2	5	0.00009
Ochrobactrum	528	G	6	28	34	0.00052
Pseudolabrys	556257	G	2	3	5	0.00008
Azorhizobium	6	G	1	1	2	0.00004
Starkeya	152053	G	1	3	4	0.00007
Labrys	204476	G	1	0	1	0.00003
Terasakiella	196080	G	2	0	2	0.00004
Methylosinus	425	G	1	2	3	0.00005
Bartonella	773	G	3	2	5	0.00008
Cohaesibacter	655352	G	2	0	2	0.00004
Breoghania	1406135	G	1	6	7	0.00011
Methylocella	120652	G	1	0	1	0.00003
Nordella	169055	G	1	0	1	0.00002
Methyloligella	1485594	G	1	0	1	0.00003
Martelella	293088	G	1	8	9	0.00014
Aureimonas	414371	G	1	1	2	0.00003
Chelatococcus	28209	G	2	2	4	0.00006
Sphingomonas	13687	G	28	34	62	0.00093
Sphingobium	165695	G	8	34	42	0.00064
Sphingopyxis	165697	G	8	41	49	0.00074
Novosphingobium	165696	G	7	3	10	0.00015
Sphingorhabdus	1434046	G	6	0	6	0.00010
Sphingosinicella	335405	G	2	0	2	0.00004
Parasphingopyxis	1234545	G	2	0	2	0.00004
Sphingosinithalassobacter	2676233	G	2	5	7	0.00012
Tardibacter	2685927	G	2	19	21	0.00032
Zymomonas	541	G	1	0	1	0.00002
Rhizorhabdus	1649486	G	1	5	6	0.00009
Erythrobacter	1041	G	9	7	16	0.00024
Porphyrobacter	1111	G	3	3	6	0.00010
Altererythrobacter	361177	G	3	3	6	0.00009
Brevundimonas	41275	G	22	52	74	0.00111
Caulobacter	75	G	21	23	44	0.00067
Asticcacaulis	76890	G	13	18	31	0.00048
Phenylobacterium	20	G	3	7	10	0.00016
Azospirillum	191	G	8	12	20	0.00031
Thalassospira	168934	G	8	19	27	0.00042
Indioceanicola	2478349	G	4	4	8	0.00013
Tistrella	171436	G	3	5	8	0.00013
Pararhodospirillum	1612157	G	2	1	3	0.00005
Rhodospirillum	1081	G	1	0	1	0.00001
Magnetospirillum	13134	G	1	2	3	0.00005
Ferrovibrio	1231242	G	1	0	1	0.00003
Komagataeibacter	1434011	G	7	5	12	0.00018
Acetobacter	434	G	3	0	3	0.00006
Roseomonas	125216	G	2	1	3	0.00006
Gluconobacter	441	G	1	1	2	0.00004
Asaia	91914	G	1	0	1	0.00002
Parasaccharibacter	1602345	G	1	0	1	0.00002
Micavibrio	213485	G	3	0	3	0.00005
Phreatobacter	1632780	G	3	8	11	0.00017
Anaplasma	768	G	1	0	1	0.00003
Wolbachia	953	G	1	0	1	0.00002
Parvularcula	208215	G	2	0	2	0.00004
Emcibacter	1602338	G	2	0	2	0.00004
Magnetococcus	162171	G	1	0	1	0.00002
Burkholderia	32008	G	10	6	16	0.00024
Polynucleobacter	44013	G	7	1	8	0.00013
Paraburkholderia	1822464	G	6	2	8	0.00013
Pandoraea	93217	G	5	3	8	0.00013
Cupriavidus	106589	G	5	10	15	0.00023
Ralstonia	48736	G	1	0	1	0.00001
Mycoavidus	1810868	G	1	0	1	0.00002
