,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,"e3, 10A",e3,10A,MIT0604,DE,Co_Culture,0.4231772151898733
1,"e3, 10B",e3,10B,MIT0604,DE,Co_Culture,0.39815189873417717
2,"e3, 10C",e3,10C,MIT0604,DE,Co_Culture,0.4019367088607595
3,"e3, 11A",e3,11A,MED4,DE1,Co_Culture,0.56779746835443
4,"e3, 11B",e3,11B,MED4,DE1,Co_Culture,0.5199620253164557
5,"e3, 11C",e3,11C,MED4,DE1,Co_Culture,0.5442911392405059
6,"e3, 12A",e3,12A,MIT9313,DE1,Co_Culture,0.09983544303797459
7,"e3, 12B",e3,12B,MIT9313,DE1,Co_Culture,0.0950253164556961
8,"e3, 12C",e3,12C,MIT9313,DE1,Co_Culture,0.14456962025316486
9,"e3, 13A",e3,13A,MIT9312,DE1,Co_Culture,0.48550632911392366
10,"e3, 13B",e3,13B,MIT9312,DE1,Co_Culture,0.5284810126582272
11,"e3, 13C",e3,13C,MIT9312,DE1,Co_Culture,0.5014303797468349
12,"e3, 14A",e3,14A,Natl2A,DE1,Co_Culture,0.4274936708860761
13,"e3, 14B",e3,14B,Natl2A,DE1,Co_Culture,0.4035696202531646
14,"e3, 14C",e3,14C,Natl2A,DE1,Co_Culture,0.4919873417721517
15,"e3, 15A",e3,15A,MIT0604,DE1,Co_Culture,0.26145569620253173
16,"e3, 15B",e3,15B,MIT0604,DE1,Co_Culture,0.2396708860759493
17,"e3, 15C",e3,15C,MIT0604,DE1,Co_Culture,0.2537341772151899
18,"e3, 16A",e3,16A,MED4,BS11,Co_Culture,0.5348607594936707
19,"e3, 16B",e3,16B,MED4,BS11,Co_Culture,0.48103797468354415
20,"e3, 17A",e3,17A,MIT9313,BS11,Co_Culture,0.11927848101265838
21,"e3, 17B",e3,17B,MIT9313,BS11,Co_Culture,0.20264556962025326
22,"e3, 17C",e3,17C,MIT9313,BS11,Co_Culture,0.14088607594936742
23,"e3, 18A",e3,18A,MIT9312,BS11,Co_Culture,0.5213164556962028
24,"e3, 18B",e3,18B,MIT9312,BS11,Co_Culture,0.7973037974683541
25,"e3, 18C",e3,18C,MIT9312,BS11,Co_Culture,0.75373417721519
26,"e3, 19A",e3,19A,Natl2A,BS11,Co_Culture,0.673632911392405
27,"e3, 19B",e3,19B,Natl2A,BS11,Co_Culture,0.5984303797468352
28,"e3, 19C",e3,19C,Natl2A,BS11,Co_Culture,0.4788734177215189
29,"e3, 1A",e3,1A,MED4,1A3,Co_Culture,0.32482278481012683
30,"e3, 1B",e3,1B,MED4,1A3,Co_Culture,0.33631645569620267
31,"e3, 1C",e3,1C,MED4,1A3,Co_Culture,0.3947215189873419
32,"e3, 20A",e3,20A,MIT0604,BS11,Co_Culture,0.35311392405063297
33,"e3, 20B",e3,20B,MIT0604,BS11,Co_Culture,0.2956329113924051
34,"e3, 20C",e3,20C,MIT0604,BS11,Co_Culture,0.29773417721519
35,"e3, 21C",e3,21C,MED4,ATCC,Co_Culture,0.6168860759493667
36,"e3, 22A",e3,22A,MIT9313,ATCC,Co_Culture,0.14289873417721535
37,"e3, 22B",e3,22B,MIT9313,ATCC,Co_Culture,0.14244303797468372
38,"e3, 22C",e3,22C,MIT9313,ATCC,Co_Culture,0.1581012658227849
39,"e3, 23A",e3,23A,MIT9312,ATCC,Co_Culture,0.5606835443037976
40,"e3, 23B",e3,23B,MIT9312,ATCC,Co_Culture,0.5463291139240504
41,"e3, 23C",e3,23C,MIT9312,ATCC,Co_Culture,0.5080506329113921
42,"e3, 24A",e3,24A,Natl2A,ATCC,Co_Culture,0.44987341772151873
43,"e3, 24B",e3,24B,Natl2A,ATCC,Co_Culture,0.37584810126582296
44,"e3, 24C",e3,24C,Natl2A,ATCC,Co_Culture,0.40841772151898736
45,"e3, 25C",e3,25C,MIT0604,ATCC,Co_Culture,0.22154430379746834
46,"e3, 2A",e3,2A,MIT9313,1A3,Co_Culture,0.11720253164556983
47,"e3, 2B",e3,2B,MIT9313,1A3,Co_Culture,0.10969620253164564
48,"e3, 2C",e3,2C,MIT9313,1A3,Co_Culture,0.0987088607594936
49,"e3, 3A",e3,3A,MIT9312,1A3,Co_Culture,0.39289873417721527
50,"e3, 3B",e3,3B,MIT9312,1A3,Co_Culture,0.40199999999999997
51,"e3, 3C",e3,3C,MIT9312,1A3,Co_Culture,0.4582784810126578
52,"e3, 4A",e3,4A,Natl2A,1A3,Co_Culture,0.32778481012658217
53,"e3, 4B",e3,4B,Natl2A,1A3,Co_Culture,0.27406329113924066
54,"e3, 4C",e3,4C,Natl2A,1A3,Co_Culture,0.32268354430379736
55,"e3, 5A",e3,5A,MIT0604,1A3,Co_Culture,0.22079746835443045
56,"e3, 5B",e3,5B,MIT0604,1A3,Co_Culture,0.20420253164556965
57,"e3, 5C",e3,5C,MIT0604,1A3,Co_Culture,0.26164556962025326
58,"e3, 6A",e3,6A,MED4,DE,Co_Culture,0.46330379746835404
59,"e3, 6B",e3,6B,MED4,DE,Co_Culture,0.4101392405063289
60,"e3, 6C",e3,6C,MED4,DE,Co_Culture,0.43017721518987334
61,"e3, 7A",e3,7A,MIT9313,DE,Co_Culture,0.12275949367088622
62,"e3, 7B",e3,7B,MIT9313,DE,Co_Culture,0.10401265822784807
63,"e3, 7C",e3,7C,MIT9313,DE,Co_Culture,0.10440506329113919
64,"e3, 8A",e3,8A,MIT9312,DE,Co_Culture,0.31950632911392424
65,"e3, 8B",e3,8B,MIT9312,DE,Co_Culture,0.33187341772151907
66,"e3, 8C",e3,8C,MIT9312,DE,Co_Culture,0.31287341772151905
67,"e3, 9A",e3,9A,Natl2A,DE,Co_Culture,0.4462151898734175
68,"e3, 9C",e3,9C,Natl2A,DE,Co_Culture,0.6840000000000002
