PRO,ALT,sample,PRO,ALT
MED4,1A3,1A,169275.3623,661899.4413
MED4,1A3,1B,116080.0552,511005.5866
MED4,1A3,1C,267356.7978,513743.0168
MIT9313,1A3,2A,772.9468599,479608.9385
MIT9313,1A3,2B,276.05245,55.86592179
MIT9313,1A3,2C,938.5783299,431005.5866
MIT9312,1A3,3A,231028.2954,663128.4916
MIT9312,1A3,3B,296590.7522,674301.676
MIT9312,1A3,3C,430669.4272,832011.1732
Natl2A,1A3,4A,44748.10214,1470335.196
Natl2A,1A3,4B,55569.35818,1205418.994
Natl2A,1A3,4C,150779.8482,1319162.011
C9B,1A3,5A,1074340.925,652625.6983
C9B,1A3,5B,1205106.97,714357.5419
C9B,1A3,5C,1478398.896,517541.8994
MED4,DE,6A,1860538.302,1177988.827
MED4,DE,6B,1122263.63,1290670.391
MED4,DE,6C,634340.9248,1222290.503
MIT9313,DE,7A,6432.022084,1053296.089
MIT9313,DE,7B,5631.469979,1160223.464
MIT9313,DE,7C,17253.27812,1427988.827
MIT9312,DE,8A,378357.4879,523575.419
MIT9312,DE,8B,217860.5935,892067.0391
MIT9312,DE,8C,160800.5521,1392346.369
Natl2A,DE,9A,56977.22567,1491061.453
Natl2A,DE,9B,22525.87992,1089720.67
Natl2A,DE,9C,37211.87026,1395530.726
C9B,DE,10A,520027.6052,431061.4525
C9B,DE,10B,884610.0759,317150.838
C9B,DE,10C,833954.4513,624413.4078
MED4,DE1,11A,398426.501,981564.2458
MED4,DE1,11B,916411.3182,778938.5475
MED4,DE1,11C,704182.1946,790223.4637
MIT9313,DE1,12A,10793.65079,12011.17318
MIT9313,DE1,12B,41573.49896,904636.8715
MIT9313,DE1,12C,45879.91718,865195.5307
MIT9312,DE1,13A,310829.3613,434213.8365
MIT9312,DE1,13B,527435.653,803486.0737
MIT9312,DE1,13C,348083.8894,706954.1779
Natl2A,DE1,14A,69456.62536,1265480.683
Natl2A,DE1,14B,87702.57388,855130.2785
Natl2A,DE1,14C,44289.79981,1442659.479
C9B,DE1,15A,332831.2679,1060808.625
C9B,DE1,15B,581143.9466,1033818.509
C9B,DE1,15C,586653.9561,847726.8643
MED4,BS11,16A,930390.8484,1233027.853
MED4,BS11,16B,828179.2183,1181419.587
MED4,BS11,16C,1290409.914,1179407.008
MIT9313,BS11,17A,838.8941849,447511.2309
MIT9313,BS11,17B,629.1706387,806217.4304
MIT9313,BS11,17C,1372.735939,228535.4897
MIT9312,BS11,18A,121773.1173,534483.3783
MIT9312,BS11,18B,381.3155386,981743.0368
MIT9312,BS11,18C,227550.0477,736136.5678
Natl2A,BS11,19A,39618.68446,1164097.035
Natl2A,BS11,19B,31229.74261,1054195.867
Natl2A,BS11,19C,22821.73499,1200826.595
C9B,BS11,20A,124232.6025,371176.9991
C9B,BS11,20B,105224.0229,551769.991
C9B,BS11,20C,411858.9133,252434.8607
MED4,ATCC,21A,950695.9009,791302.7853
MED4,ATCC,21B,869075.3098,1013764.6
MED4,ATCC,21C,837807.4357,736100.6289
MIT9313,ATCC,22A,9323.164919,595723.2704
MIT9313,ATCC,22B,4041.944709,628751.1231
MIT9313,ATCC,22C,6253.574833,542425.876
MIT9312,ATCC,23A,156396.5682,938724.1689
MIT9312,ATCC,23B,3813.155386,962120.3953
MIT9312,ATCC,23C,203527.1687,729451.9317
Natl2A,ATCC,24A,13937.08294,1362300.09
Natl2A,ATCC,24B,18245.94852,590943.3962
Natl2A,ATCC,24C,5109.628217,1606145.553
C9B,ATCC,25A,1597.374179,22884.61538
C9B,ATCC,25B,1006.564551,22403.84615
C9B,ATCC,25C,272735.2298,1037644.231
