,experiment_sample,experiment,sample,PRO,ALT,culture,FL
0,"e1, 10A",e1,10A,MIT0604,DE,Co_Culture,0.15776835688773053
1,"e1, 10B",e1,10B,MIT0604,DE,Co_Culture,0.16859904671300435
2,"e1, 10C",e1,10C,MIT0604,DE,Co_Culture,0.1560253167239493
3,"e1, 11A",e1,11A,MED4,DE1,Co_Culture,0.16092538290065725
4,"e1, 11B",e1,11B,MED4,DE1,Co_Culture,0.1495173776476475
5,"e1, 11C",e1,11C,MED4,DE1,Co_Culture,0.15867349586985224
6,"e1, 12A",e1,12A,MIT9313,DE1,Co_Culture,0.1610380952380953
7,"e1, 12B",e1,12B,MIT9313,DE1,Co_Culture,0.15905376744633176
8,"e1, 12C",e1,12C,MIT9313,DE1,Co_Culture,0.18715559338739293
9,"e1, 13A",e1,13A,MIT9312,DE1,Co_Culture,0.3203075301542951
10,"e1, 13B",e1,13B,MIT9312,DE1,Co_Culture,0.2999775785392757
11,"e1, 13C",e1,13C,MIT9312,DE1,Co_Culture,0.2770644922801828
12,"e1, 14A",e1,14A,Natl2A,DE1,Co_Culture,0.2699317606129944
13,"e1, 14B",e1,14B,Natl2A,DE1,Co_Culture,0.2917175610837583
14,"e1, 14C",e1,14C,Natl2A,DE1,Co_Culture,0.2845581744397003
15,"e1, 15A",e1,15A,MIT0604,DE1,Co_Culture,0.20931765398978514
16,"e1, 15B",e1,15B,MIT0604,DE1,Co_Culture,0.1861029362489073
17,"e1, 15C",e1,15C,MIT0604,DE1,Co_Culture,0.19577044947371772
18,"e1, 16A",e1,16A,MED4,BS11,Co_Culture,0.20693422820651347
19,"e1, 16B",e1,16B,MED4,BS11,Co_Culture,0.2005554497911465
20,"e1, 16C",e1,16C,MED4,BS11,Co_Culture,0.18193605121555206
21,"e1, 17A",e1,17A,MIT9313,BS11,Co_Culture,0.19391044268993848
22,"e1, 17B",e1,17B,MIT9313,BS11,Co_Culture,0.21092063858180787
23,"e1, 17C",e1,17C,MIT9313,BS11,Co_Culture,0.14747097972450096
24,"e1, 18A",e1,18A,MIT9312,BS11,Co_Culture,0.20744889259632038
25,"e1, 18B",e1,18B,MIT9312,BS11,Co_Culture,0.3850077182390183
26,"e1, 18C",e1,18C,MIT9312,BS11,Co_Culture,0.35409723996933273
27,"e1, 19A",e1,19A,Natl2A,BS11,Co_Culture,0.3603036932556384
28,"e1, 19B",e1,19B,Natl2A,BS11,Co_Culture,0.32614455935351466
29,"e1, 19C",e1,19C,Natl2A,BS11,Co_Culture,0.2837375502624194
30,"e1, 1A",e1,1A,MED4,1A3,Co_Culture,0.16495101284257915
31,"e1, 1B",e1,1B,MED4,1A3,Co_Culture,0.19178872391653276
32,"e1, 1C",e1,1C,MED4,1A3,Co_Culture,0.20079146907528375
33,"e1, 20A",e1,20A,MIT0604,BS11,Co_Culture,0.14701827930750122
34,"e1, 20B",e1,20B,MIT0604,BS11,Co_Culture,0.14270814975677878
35,"e1, 20C",e1,20C,MIT0604,BS11,Co_Culture,0.15153349886359588
