# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_missense_variant	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AKG35_RS00225	null	AKG35_RS01730	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00225	null	AKG35_RS01775	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00225	null	AKG35_RS02580	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00225	null	AKG35_RS04845	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00225	null	AKG35_RS05635	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00225	null	AKG35_RS07350	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00225	null	AKG35_RS09500	protein_coding	0	0	0	2	1	0	0	0	0	0	1
AKG35_RS00225	null	AKG35_RS11775	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00225	null	AKG35_RS13045	protein_coding	0	0	0	2	0	0	0	0	0	0	2
AKG35_RS00320	GENE_AKG35_RS00320	TRANSCRIPT_AKG35_RS00320	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00325	GENE_AKG35_RS00325	TRANSCRIPT_AKG35_RS00325	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00330	GENE_AKG35_RS00330	TRANSCRIPT_AKG35_RS00330	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00335	GENE_AKG35_RS00335	TRANSCRIPT_AKG35_RS00335	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00340	GENE_AKG35_RS00340	TRANSCRIPT_AKG35_RS00340	protein_coding	1	0	0	0	0	1	0	0	0	0	0
AKG35_RS00345	GENE_AKG35_RS00345	TRANSCRIPT_AKG35_RS00345	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00350	GENE_AKG35_RS00350	TRANSCRIPT_AKG35_RS00350	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00355	GENE_AKG35_RS00355	TRANSCRIPT_AKG35_RS00355	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00360	GENE_AKG35_RS00360	TRANSCRIPT_AKG35_RS00360	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00455	GENE_AKG35_RS00455	TRANSCRIPT_AKG35_RS00455	protein_coding	0	0	0	2	0	0	0	0	0	0	2
AKG35_RS00460	GENE_AKG35_RS00460	TRANSCRIPT_AKG35_RS00460	protein_coding	0	0	0	2	2	0	0	0	0	0	0
AKG35_RS00470	GENE_AKG35_RS00470	TRANSCRIPT_AKG35_RS00470	protein_coding	1	0	0	1	0	0	0	1	0	0	1
AKG35_RS00475	GENE_AKG35_RS00475	TRANSCRIPT_AKG35_RS00475	protein_coding	0	0	0	2	0	0	0	0	0	0	2
AKG35_RS00480	GENE_AKG35_RS00480	TRANSCRIPT_AKG35_RS00480	protein_coding	0	0	0	2	0	0	0	0	0	0	2
AKG35_RS00500	GENE_AKG35_RS00500	TRANSCRIPT_AKG35_RS00500	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00505	GENE_AKG35_RS00505	TRANSCRIPT_AKG35_RS00505	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00510	GENE_AKG35_RS00510	TRANSCRIPT_AKG35_RS00510	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00515	GENE_AKG35_RS00515	TRANSCRIPT_AKG35_RS00515	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00520	GENE_AKG35_RS00520	TRANSCRIPT_AKG35_RS00520	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00525	GENE_AKG35_RS00525	TRANSCRIPT_AKG35_RS00525	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00530	GENE_AKG35_RS00530	TRANSCRIPT_AKG35_RS00530	protein_coding	0	0	0	1	0	0	0	0	0	0	1
AKG35_RS00630	GENE_AKG35_RS00630	TRANSCRIPT_AKG35_RS00630	protein_coding	0	0	0	1	1	0	0	0	0	0	0
AKG35_RS00635	GENE_AKG35_RS00635	TRANSCRIPT_AKG35_RS00635	protein_coding	0	0	0	1	1	0	0	0	0	0	0
